"addresses","lat","long"
"Maakri, Tallinn",59.4324825,24.7583157
"Madala, Tallinn",59.4485982,24.6930635
"Madara, Tallinn",59.4318411,24.7207519
"Magasini, Tallinn",59.4239748,24.7556057
"Magdaleena, Tallinn",59.4153644,24.7372434
"Mahla tn, Tallinn",59.3803249,24.720144
"Mahla, Tallinn",59.3803249,24.720144
"Mahtra tn, Tallinn",59.4410188,24.8766862
"Mahtra, Tallinn",59.4410188,24.8766862
"MAHTRA, Tallinn",59.4410188,24.8766862
"Majaka põik, Tallinn",59.4279647,24.7992004
"Majaka tn, Tallinn",59.4282397,24.7931234
"Majaka, Tallinn",59.4282397,24.7931234
"Maleva põik, Tallinn",59.4611273,24.6807263
"Maleva, Tallinn",59.4582123,24.685046
"Marati, Tallinn",59.4564439,24.672174
"Mardi tn, Tallinn",59.4298755,24.7642129
"Mardi, Tallinn",59.4298755,24.7642129
"Marja, Tallinn",59.4243037,24.6922628
"Marsi tn, Tallinn",59.4044079,24.7218532
"Marsi, Tallinn",59.4044079,24.7218532
"Marta, Tallinn",59.4142912,24.7359697
"Masti tn, Tallinn",59.4646873,24.8266966
"Masti, Tallinn",59.4646873,24.8266966
"Meeliku, Tallinn",59.4507836,24.838228
"Mehaanika, Tallinn",59.4259401,24.7047936
"Meleka, Tallinn",59.4257819,24.7148468
"Merirahu, Tallinn",59.444446,24.61445
"Merivälja tee, Tallinn",59.4785043,24.8398105
"Metsa, Tallinn",59.3807514,24.680789
"Mirta, Tallinn",59.4427127,24.6034982
"Mooni, Tallinn",59.4216991,24.7079952
"Muhu, Tallinn",59.4485815,24.8696884
"Mulla, Tallinn",59.4351164,24.7170042
"Mustamäe tee , Tallinn",59.4148581,24.6912697
"Mustamäe tee, Tallinn",59.4148581,24.6912697
"Mustamäe, Tallinn",59.4078592,24.6708326
"Muti, Tallinn",59.4126053,24.7016918
"Mäepealse, Tallinn",59.3948631,24.6531141
"Männiku tee, Tallinn",59.3783373,24.7189437
"Männiku, Tallinn",59.3707541,24.7177527
"Möldre tee, Tallinn",59.3596251,24.6124526
"Müürivahe, Tallinn",59.4355575,24.747797
"Nabra, Tallinn",59.4398564,24.7199234
"Naeri, Tallinn",59.4260379,24.7536106
"Nafta, Tallinn",59.4405543,24.7776341
"Narva maantee, Tallinn",59.448619,24.8293502
"Narva mnt , Tallinn",59.448619,24.8293502
"Narva mnt, Tallinn",59.448619,24.8293502
"Narva mnt., Tallinn",59.448619,24.8293502
"NARVA mnt., Tallinn",59.448619,24.8293502
"Nelgi, Tallinn",59.3768246,24.7105208
"Niguliste, Tallinn",59.4363858,24.7434653
"Niidi, Tallinn",59.4514583,24.6975081
"Niine tn, Tallinn",59.443963,24.7400279
"Niine, Tallinn",59.443963,24.7400279
"Nisu, Tallinn",59.4440848,24.7103182
"Noole, Tallinn",59.4483388,24.7359538
"Noorkuu, Tallinn",59.4312426,24.619276
"Nurme, Tallinn",59.3798912,24.6933558
"Nurmiku tee, Tallinn",59.4576467,24.87049
"Nõmme tee, Tallinn",59.4130471,24.7168765
"Odra, Tallinn",59.4277257,24.7739743
"Oja, Tallinn",59.4296016,24.6084336
"Oksa, Tallinn",59.4075677,24.7278105
"Orase, Tallinn",59.4430985,24.7130545
"P. Pinna, Tallinn",59.4373048,24.8359162
"P.Pinna, Tallinn",59.4373048,24.8359162
"Paadi, Tallinn",59.4414897,24.7612894
"Paasiku, Tallinn",59.448748,24.850111
"PAASIKU, Tallinn",59.448748,24.850111
"Padriku tee, Tallinn",59.4825986,24.8505309
"PADRIKU TEE, Tallinn",59.4825986,24.8505309
"Padriku, Tallinn",59.4825986,24.8505309
"Pae tn, Tallinn",59.4321406,24.8109262
"Pae, Tallinn",59.4351083,24.8213588
"PAE, Tallinn",59.4351083,24.8213588
"Paekaare tn, Tallinn",59.4371987,24.8231175
"Paekaare, Tallinn",59.4371987,24.8231175
"Paepargi, Tallinn",59.4342146,24.8097484
"Paide, Tallinn",59.4165382,24.7419764
"Pajude pst, Tallinn",59.3562659,24.6151523
"Paldiski mnt, Tallinn",59.4203063,24.644872
"PALDISKI MNT, Tallinn",59.4203063,24.644872
"Paldiski mnt., Tallinn",59.4203063,24.644872
"Paljandi, Tallinn",59.4407217,24.6236979
"Pallasti , Tallinn",59.4302457,24.7919359
"Pallasti, Tallinn",59.4302457,24.7919359
"Pardi, Tallinn",59.413216,24.7297153
"Pebre, Tallinn",59.4406825,24.7193126
"Pelguranna, Tallinn",59.4479798,24.6928837
"Peterburi tee, Tallinn",59.4294671,24.837064
"Pihlaka, Tallinn",59.3743158,24.7115022
"Pikaliiva, Tallinn",59.4208498,24.62148
"Pikk tn, Tallinn",59.439714,24.7471005
"Pikk, Tallinn",59.439714,24.7471005
"Pikksilma, Tallinn",59.4425992,24.7808883
"Pikri, Tallinn",59.4370701,24.8430296
"Pinna, Tallinn",59.4373048,24.8359162
"Pirita tee, Tallinn",59.4554773,24.8099381
"Pirita, Tallinn",59.4749,24.8724999
"Pirni, Tallinn",59.4272133,24.6986802
"Planeedi, Tallinn",59.4225381,24.7404842
"Poska, Tallinn",59.4371945,24.7838576
"Priisle tee, Tallinn",59.4509305,24.8961634
"Priisle, Tallinn",59.4496,24.8928999
"Pronksi, Tallinn",59.4353573,24.7646436
"Puhangu, Tallinn",59.4440248,24.693983
"Puhkekodu tee, Tallinn",59.4590439,24.8757568
"Puhkekodu, Tallinn",59.4590439,24.8757568
"Punane, Tallinn",59.4351371,24.8395236
"PUNANE, Tallinn",59.4351371,24.8395236
"Pune tee, Tallinn",59.4607853,24.8809785
"Purde, Tallinn",59.4538355,24.855791
"Puuvilla, Tallinn",59.4530349,24.6983186
"Põhja-Tallinn, Tallinn",59.4383022,24.7027847
"Põhja pst, Tallinn",59.4444058,24.7457789
"Põhja pst., Tallinn",59.4444058,24.7457789
"Põhja puiestee, Tallinn",59.4444058,24.7457789
"Põllu, Tallinn",59.3759128,24.6604772
"Pähkli, Tallinn",59.4555758,24.8368976
"Pärnu mnt , Tallinn",59.3877546,24.6856356
"Pärnu mnt, Tallinn",59.3877546,24.6856356
"Pärnu mnt. , Tallinn",59.3877546,24.6856356
"Pärnu mnt., Tallinn",59.3877546,24.6856356
"Pääsküla, Tallinn",59.3688528,24.6357025
"Pöörise tn, Tallinn",59.4077151,24.6510009
"Pöörise tn., Tallinn",59.4077151,24.6510009
"Pöörise, Tallinn",59.4077151,24.6510009
"Pühavaimu, Tallinn",59.4383638,24.7464039
"Raadiku tn, Tallinn",59.4418686,24.8830877
"Raadiku, Tallinn",59.4418686,24.8830877
"Raekoja plats, Tallinn",59.4371997,24.7452441
"Rahumäe tee, Tallinn",59.3954145,24.7093018
"Randla tn, Tallinn",59.4479651,24.6908507
"Randla, Tallinn",59.4479651,24.6908507
"Rannamõisa tee, Tallinn",59.4298504,24.6091304
"Ranniku tee, Tallinn",59.4891167,24.8502523
"Rapla, Tallinn",59.4155287,24.739993
"Rataskaevu, Tallinn",59.4370677,24.742808
"Raua tn, Tallinn",59.4365864,24.7690619
"Raua, Tallinn",59.4361192,24.7707542
"Raudtee, Tallinn",59.3826804,24.6701841
"Ravi, Tallinn",59.4274031,24.7529169
"Ravila, Tallinn",59.3813922,24.6901011
"Rebase, Tallinn",59.3642149,24.6394237
"Reimani, Tallinn",59.4362221,24.7621331
"Retke tee, Tallinn",59.3989342,24.7037589
"Retke, Tallinn",59.3989342,24.7037589
"Risti, Tallinn",59.3911629,24.7187411
"Ristiku, Tallinn",59.4411483,24.7138204
"Rohu, Tallinn",59.4373511,24.7235369
"Roo, Tallinn",59.4376605,24.7154683
"Roopa, Tallinn",59.4306613,24.7272651
"Roosikrantsi, Tallinn",59.431419,24.7435197
"Rotermanni, Tallinn",59.4388857,24.756435
"Rukki, Tallinn",59.4453471,24.7109775
"Rõugu, Tallinn",59.4289994,24.6123915
"Räga, Tallinn",59.4271844,24.6259647
"Rähni, Tallinn",59.4127428,24.731349
"Ränduri, Tallinn",59.3710285,24.6472797
"Rännaku pst, Tallinn",59.3654844,24.6515578
"Rävala pst, Tallinn",59.433108,24.7542296
"Rävala, Tallinn",59.433108,24.7542296
"Räägu, Tallinn",59.4164726,24.7098961
"Saeveski, Tallinn",59.3905584,24.7286224
"Sakala, Tallinn",59.4321563,24.7488003
"Saku, Tallinn",59.4369608,24.7535746
"SALME TÄNAV, Tallinn",59.4458994,24.7297202
"Salme, Tallinn",59.4458994,24.7297202
"Sanatooriumi, Tallinn",59.3768816,24.6674719
"Sarapuu, Tallinn",59.4567812,24.8357187
"Saturni, Tallinn",59.4260894,24.7301039
"Saue, Tallinn",59.4369608,24.7535746
"Sauna, Tallinn",59.4361987,24.7481727
"Seebi, Tallinn",59.4046387,24.7252974
"Sihi, Tallinn",59.3790898,24.6888205
"Siidisaba, Tallinn",59.4152694,24.7229529
"Siili, Tallinn",59.4063481,24.7050353
"Sikupilli, Tallinn",59.4304641,24.7949243
"Sinika, Tallinn",59.4288002,24.7226006
"Sinimäe, Tallinn",59.4441544,24.9015195
"Sipelga, Tallinn",59.4068866,24.6977717
"Sitsi, Tallinn",59.4517052,24.7010987
"Soo, Tallinn",59.4462282,24.7374401
"Spordi tn, Tallinn",59.4192374,24.7283323
"Spordi, Tallinn",59.4192374,24.7283323
"Suur-Ameerika, Tallinn",59.4278744,24.7347054
"Suur-Karja, Tallinn",59.4348892,24.7472201
"Suur-Kloostri, Tallinn",59.4393873,24.7430755
"Suur-Laagri tänav, Tallinn",59.4468825,24.7381311
"Suur-Laagri, Tallinn",59.4468825,24.7381311
"Suur-Patarei, Tallinn",59.4468926,24.7450364
"Suurtüki, Tallinn",59.4417246,24.744238
"Sõle , Tallinn",59.4435337,24.7022813
"Sõle tn, Tallinn",59.4435337,24.7022813
"sõle, Tallinn",59.4435337,24.7022813
"Sõle, Tallinn",59.4435337,24.7022813
